(forest ) plant sociology	森林植物社會學
Allohexaploid	異源六倍體
Alloiobiogenesis	世代交替
Alloiogenesis	異態交替
Allometry	異速生長
Allopathy	對抗療法
Allopatric	異域性
Allopatric population	異地種群
Alloplasm	異質
Allopolyploid	異源多倍體
Allosomal inheritance	性染色體遺傳
Allosome	異染色體
Allotetraploid	異源四倍體
Allotment method	平分法
Allotriploid	異源三倍體
Allotype	性模標本
Allowable concentration	容鹵@度
Alluvial	沖積的
Alluvial district	沖積地區
Alluvial fan	沖積扇
Alluvial land	沖積地
Alluvial plain	沖積平原
Alluvial soil	沖積土
Alopias pelagicus Nakamura	淺海狐鮫
Alopias profundus Nakamura	深海狐鮫
Alopias vulpinus (Bonnaterre)	狐鮫
Alopiidae	狐鮫科
Alpestrine	高山的
Alpha Hydroxy Acid ; AHA	果酸
Alpha-cellulose	甲種纖維素
Alpine	高山的
Alpine belt	高山帶
Alpine forest	高山林
Alpine garden	高山植物園
Alpine humus soil	高山腐殖土
Alpine plant	高山植物
Alteration	改變，變更
Alternate bearing	隔年結果
Alternate host	輪換寄主
Alternate reproduction	交替生殖
Alternation	交替
Alternation of culture	輪換栽培
Alternation of generations	世代交替
Alternation of hosts	轉主〔寄生〕
Alternative	交替的，交互的
Alternative inheritance	交替遺傳
Alternative variation	交互變異
Altigraph	高度計
Altimeter	高度表
Altimetry	測高法，測高學
Altitude	高度，標高
Altitude above sea level	海拔，海拔高度
Aluminium intoxicatio	鋁中毒
Aluminium toxicity	鋁中毒
Aluminum	鋁
Alutera monoceros (Linnaeus)	薄葉單棘魨、剝皮魚、光復魚
Alutera scriptus (Osbeck L. Gmelin)	長尾單棘魨
Alyce clover	單葉豆
Amanses sandwichiensis (Quoy & Gaimard)	檀島單棘魨
Amanses sandwichiensis (Ruppell)	偺噫瘣や?
Amanses scopas (Cuvier)	側棘單棘魨
Ambassidae	雙邊魚科
Ambassis urotaenia Bleeker	雙邊魚
Amberfish Whitetipped ( mackerel scad)	圓鰺
Amblycirrhitus bimacula (Jenkins)	雙斑鷹斑鯛
Amblycirrhitus unimacula (Kamoharda)	單斑鷹斑鯛
Amblyglyphidodon aureus Cuvier & Valenciennes	黃背雀鯛
Amblyglyphidodon curacao (Bloch)	黑吻雀鯛
Amblyglyphidodon ternatensis Bleeker	三元雀鯛
Amblygobius albimacultus (Ruppell)	環帶鯊
Amblygobius decussatus (Bleeker)	十字紋鯊
Amblygobius linki Herre	林克氏鯊
Amblygobius sphynx (Cuvier & Valenciennes)	更紗鯊
Amblyrhynchotes hypselogeneion (Bleeker)	縱帶河魨
Ameiosis	非減數分裂
Amendment	改良，改良劑
American Broadcasting Company ; ABC	美國廣播公司
American Express ; AMEX	美國運通卡
American Institute in Taiwan ; AIT	美國在臺協會
American National Standards Institute ; ANSI	美國國家標準研究所
American born Chinese ; ABC	美藉華人
American eel	美洲鰻
American foulbrood	美洲幼蟲病
Amicrobic	無微生物的
Aminomycetin	氨基菌素
Aminopyrine	氨基霉素
Amitosis	無絲分裂
Amixie	無交配，相互不孕
Ammodytidae	玉筋魚科
Ammoni-oxidizing bacteria	氨氧化細菌
Ammonia	氨
Ammonia applicator	施氨肥機
Ammonia intoxication	氨中毒
Ammonia water	氨水
Ammoniate	氨合物
Ammoniate cottonseed meal	氨化棉子粕
Ammoniate molasses	氨化糖密
Ammoniate rice hull	氨化稻殼
Ammoniation	氨化〔作用〕
Ammonification	氨化〔作用〕
Ammonificator	氨化菌
Ammonifying bacteria	氨化細菌
Ammonifying capacity	氨化強度
Ammonium	銨
Ammonium bacteria	銨細菌
Ammonium chloride	氯化銨
Ammonium metaphosphate	偏磷酸銨
Ammonium nitrate	硝酸銨
Ammonium phosphate	磷酸銨
Ammonium polyphosphate	聚磷酸銨
Ammonium polyphosphate solution	多磷酸氨水溶液
Ammonium salt	銨鹽
Ammonium salts intoxication	銨鹽中毒
Ammonium sulfate	硫酸氨
Ammonium sulphate	硫酸銨
Ammophilous	喜砂的
Amoeba	變形蟲
Amoeba disease	變形蟲病
Amoebiasis	變形蟲病
Amoebicide	殺變形蟲劑
Amoebocyte	變形細胞
Amoeboid	變形蟲狀的
Amoebosis	變形蟲病
Amount of clouds	雲量
Amount of precipitation	降水量
Amount of refrigeration	冷凍量
Amount of spawned egg	產卵量
Amount of supplied leaves	給桑量
Amphiapomict	有性無性生殖個體
Amphibian	兩棲動物
Amphibiotica	兩生類
Amphibious	兩棲的，兩棲性的
Amphibious alternation of generation	兩棲的世代交替
Amphibious plant	兩棲植物
Amphidiploid	雙二倍體
Amphidiploid hybrid	雙二倍體雜種
Amphidiploidy	雙二倍性
Amphigamous	雌雄器不分明的
Amphigenesis	有性生殖
Amphigony	兩性生殖
Amphipolyploid	雙多倍體
Amphipolyploidy	雙多倍性
Amphiprion clarkii Bennett	克氏海葵魚
Amphiprion frenatus Brevoort	白條海葵魚
Amphiprion ocellaris Cuvier	眼斑海葵魚
Amphiprion percula (Lacepede)	橘色海葵魚
Amphiprion perideraion Bleeker	粉紅海葵魚
Amphiprion polymnus (Linnaeus)	鞍斑海葵魚
Amphora	雙眉藻
Amplitude	振幅
Ampullarium canaliculatus	福壽螺
Ampullarius insularum	蘋果螺、福壽螺
Amsanes dumerilii (Hollard)	白點單棘魨
Amusium pleuronectes	日月聖、日月貝
Amylase	澱粉敫
Amyloodiniosis	卵圓鞭毛蟲症
Anabaena	魚腥藻
Anabaenopsis	項圈藻
Anabantidae	攀鱸科
Anabas scandens (Daldorf)	攀木魚
Anabolism	合成代謝
Anacanthobatidae	裸鯆科
Anacanthobatis borneensis Chan	婆羅乃裸鯆
Anadara granosa	血蚶、灰蛤
Anadonta woodina	河蚌
Anadrogenetic parthenogenesis	產雄單性生殖
Anadromous	朔河的
Anadromous fish	朔河性魚類
Anadromous migration	朔河回游
Anaemia	貧血
Anaerobe	嫌氣微生物
Anaerobic	嫌氣性
Anaerobic bacteria	嫌氣細菌
Anaerobic culture	缺氧培癢
Anaerobic decomposition	嫌氣性分解
Anaerobic metabolism	缺氧代謝
Anaerobic pathogen	嫌氣性病源
Anaerobic process	嫌氣過程
Anaerobic respiration	缺氧呼吸
Anaerobiont	嫌氣生物
Anaerobiosis	嫌氣性生活
Anaesthesia	麻木
Anaesthetic	麻醉劑
Anago anago (Temminck & Schlegel)	白糯鰻、白鰻
Anal fin	臀鰭
Anal papilla	肛乳突
Anal plate	肛板
Anal vein	肛門靜脈
Analogic method	相似法
Analogous	同左?
Analogous organ	同札鼎x
Analysis	分析
Analysis of covariance	互變量分析
Analysis of weather map	天氣圖分析
Analysis of weather situation	天氣形勢分析
Analyst	分析員，化驗員
Analytical Plotter	解析測圖儀
Analytical balance	分析天平
Analytical portion	定量分析樣品
Analytical range	分析範圍
Analytical sample	分析樣品
Analytical standard (pesticide)	分析標準(農藥)
Anampses caeruleopunctatus Ruppell	青點鸚鯛
Anampses geographicus Cuvier & Valenciennes	蟲紋鸚鯛
Anampses melanurus Bleeker	烏尾鸚鯛
Anampses meleagrides Cuvier & Valenciennes	北斗鸚鯛
Anampses neoguinaicus Bleeker	新幾內亞鸚鯛
Anampses twistii Bleeker	黃胸鸚鯛
Anaphalanx	暖鋒面
Anaphase	後期（細胞分裂）
Anaphylaxis	過敏性
Anaplasia	間變（退化性發育）
Anaplasmosis	邊蟲症
Anarsia lineatell Zeller	桃枒蛾
Anastrepha fraterculus (Wiedemann)	南美果實蠅
Anastrepha ludens (Loew)	墨西哥果實蠅
Anastrepha obliqua Macquart = Anastrepha mombinpraeoptans Sein	西印度果實蠅
Anastrepha serpentina Wiede-mann	黑果實蠅
Anatipestifer infection	傳染性漿膜炎
Anatomical	解剖的
Anatomical physiology	解剖生理學
Anatomist	解剖學家
Anatomize	解剖
Anatomy	解剖學
Anatoxin	類毒素，變性毒素
Ancestral feature	遺傳特性
Anchor	錨，錨狀骨針
Anchor worm infection	錨蟲寄生症
Anchor worm infestation, Lernaeid infestation	錨蟲症
Anchoring organ	固著氣官
Anchory feed fat	鯷魚魚油
Anchovy fishery	溫漁業
Anchovy(Japanese anchoue)	鱙仔
Ancylodiscoidiasis	盤鉤蟲病
Andaman Sea	安達曼海
Andean Trade Initiative ; ATI	安地斯貿易倡議
Androgamete	雄配子
Androgen	雄〔性〕激素
Androgenous	產雄的
Androgonium	雄原細胞
Androgyny	雌雄同體
Androplasm	雄質
Androsome	限雄染色體
Androspermium	產雄精子
Androspore	雄苞子
Androtype	雄模標本
Anemia	貧血
Anemic infarction	貧血性梗塞
Anemoscope	風速儀
Angelica keiskei Koidzmi	明日葉
Angioma	血管瘤
Angiosperma	被子植物
Angler	釣魚者
Angling	釣魚法
Angling gear	釣魚具
Angling machine	釣機
Angling machinery	釣捕機械
Angling rod	釣魚竿
Anguilla	河鰻
Anguilla anguilla	毆洲鰻
Anguilla bicolor pacifica Schmidt	南洋鰻、短鰭鰻
Anguilla celebesensis	西里伯斯鰻
Anguilla japonica Temminck & Schlegel	白鰻、日本鰻
Anguilla marmorata Quoy & Gaimard	鱸鰻
Anguilla rostrata	美洲鰻
Anguillid elvers	鰻苗
Anguillidae	鰻鱺科
Animal Display Area	動物參觀區
Animal Drugs Inspection Branch, Animal Health Research Institute	家畜衛生試驗所動物用藥品檢定分所
Animal Health Research Institute	家畜衛生試驗所
Animal Health Research Institute, Council of Agriculture, Executive Yuan	行政院農業委員會家畜衛生試驗所
Animal Industry Act.	畜牧法
Animal Industry Division	產業組
Animal Products Processing	加工組
Animal Products Processing Building	加工館
Animal Welfare, AW	動物福利
Animal appendage	動物附肢
Animal breeder	家畜育種家
Animal breeding	家畜育種
Animal charcoal	動物碳
Animal chemistry	動物化學
Animal community	動物群落
Animal ecology	生物生態學
Animal excrements	動物排泄物
Animal farm	畜牧場
Animal fat	動物性油脂
Animal fibre	動物纖維
Animal fodder	動物性飼料
Animal food	動物飼料
Animal force	畜力
Animal hauling	畜力牽引
Animal house	畜舍
Animal husbandry	畜牧業
Animal industry	畜產業
Animal inoculation	動物接種
Animal kingdom	動物界
Animal manure	牲畜糞
Animal meal	動物粉
Animal nutrition	動物營養
Animal oil	動物油
Animal physiology	動物生理
Animal power	畜力
Animal protein	動物性蛋白
Animal raising	動物飼養
Animal sociology	動物社會學
Animal tallow	獸脂
Animal tankage	骨肉粉
Animal test	動物試驗
Animal traction	畜力牽引
Animal yield	畜產量
Animal zone	動物帶
Animal-draft	畜力牽引
Animal-drawn tillage implement	畜力耕作農具
Animalcule	小動物
Anincretinosis	內分泌缺乏
Anion	陰離子
Anion exchange	陰離子交換
Anionic layer	陰離子層
Anisocytic type	不等細胞型
Anisocytosis	紅血球
Anisogamete	異型配子
Anisogamy	異配生子
Anisogeny	雌雄異型遺傳
Anisomeric	非異構的
Anisomerous	不等基數的
Anisophyllous	異型葉的
Anisophylly	異型葉性
Anisoploid	奇倍體
Anisoploidy	奇倍性
Anisopore	異型苞子
Anisotropic	各向異性
Anitrogenous	無氮的
Anjhai	安宅
Anmashan Station	鞍馬山工作站
Annato	胭脂樹
Anneal	退火
Annealing	退火的
Annelid	環節動物
Annelida	環節動物
Anniversary	每年的，周年的
Anniversary wind	季節風
Annotinous	經一年的
Annual	一年生的
Annual bearer	年年結果樹
Annual bearing	年年結果
Annual catch	年漁獲量
Annual colony	一年群體
Annual crop	一年生作物
Annual cutting	年伐量
Annual cutting area	年伐面積
Annual felling	年伐量
Annual flood	年洪水量
Annual flow	年逕流
Annual flower	一年生花卉
Annual grass	一年生牧草
Annual ground cover	一年生地被物
Annual growth	年生長量
Annual heat budget	年熱量
Annual herb	一年生草
Annual increment	年生長量
Annual maximum	年最高的
Annual mean	年平均數
Annual minimum	年最低的
Annual plant	一年生植物
Annual precipitation	年雨量
Annual rainfall	年雨量
Annual range	年較差
Annual ring	年輪
Annual root	一年生根
Annual runoff	年逕流
Annual value	年值
Annual yield	年產量
Annual yield by area	單位面積年產量
Annular	環狀的
Annular budding	環狀芽接
Annular cell	環紋細胞
Annular vessel	環紋導管
Annulus	環，菌環
Anode	陽極，正極
Anoderm	無角質層的
Anodontostoma chacunda (Buchananhamilton)	海鯽
Anodyne	止痛劑
Anomalopidae	燈眼魚科
Anomalops katoptron (Bleeker)	燈眼魚
Anomalous	異常的
Anomalous floculation	反常絮凝作用
Anomalous growth	畸型生長
Anomalous structure	異常構造
Anomalous viscosity	反常黏度
Anomiidae	不等蛤科
Anomocytic type	無規責型
Anoxia	缺氧症
Anoxybiotic	缺氧生活的
Anping	安平
Anshan	案山
Antacid	解酸
Antagonism	拮抗
Antagonist	拮抗體
Antagonistic	拮抗作用
Antagonistic character	拮抗性質
Antagonistic symbiosis	對抗共生
Antarctic Ocean	南極洋
Antarctic front	南極鋒
Antarctic krill	南極蝦
Antarctic krill sauce	南極蝦醬
Antarctic pole	南極
Ante-mortem inspection	屠前檢查
Anteapical	下端
Antenatal examination	產前檢查
Antenna	觸角
Antennariidae	躄魚科
Antennarius altipinnis Smith & Radcliffe	高棘躄魚
Antennarius coccineus (Lesson)	粉紅躄魚
Antennarius nummifer (Cuvier)	眼斑躄魚
Anterior lobe hormone	前葉激素
Anterior pituiary gland	垂體前葉
Anthelmintic	趨蟲藥
Anthelmintic action	趨蟲作用
Antheridial filament	雄器絲，精囊絲
Antheridiospore	精苞子
Antheridium	精子囊，雄器
Antherozoid	游動精子
Anthias dispar (Herre)	異色花鱸
Anthias pascalus (Jordan & Tabaka)	游牧花鱸
Anthias smithvanizi (Randall & Lubbock)	史氏花鱸
Anthology	花譜，花學
Antholysis	花器退化變形
Anthozoa	珊瑚蟲
Anthrax	炭疽
Anthropogenic factor	人為因素
Antiacid	抗酸劑
Antiamoebic agent	抗變形蟲藥
Antibacterial	抗細菌的，殺菌的
Antibacterial agent	抗菌劑
Antibiont	相克生物
Antibiosis	抗生現象
Antibiotic	抗生素，抗菌素
Antibiotic activity	抗菌活性
Antibiotic spectrum	抗菌譜
Antibiotic substance	抗生物質
Antibiotics	抗生素
Antiblastin	抗凋萎素
Antibody	抗體
Antibody production	抗體生產
Anticipation	早現遺傳
Anticline	背斜
Anticoagulin	抗凝固素
Anticontagious	預防傳染的
Anticyclone	反氣旋，高氣壓
Antidotal	解毒的
Antidote	解毒劑
Antifertilizin	抗受精素
Antifreeze liquid	阻凍液
Antifreezer	阻凍劑
Antifriction	耐磨
Antifungal	抗真菌的
Antifungin	妨腐劑
Antigenic action	抗原作用
Antigenic mutant	抗原突變型
Antigonadotropin	抗促性腺激素
Antigonia capros Lowe	高菱鯛
Antigonia rubescens (Gunther)	菱鯛
Antihelminthic	趨蠕蟲劑
Antihormone	抗激素
Antimicrobic	抗微生物劑
Antimold agent	抗黴劑
Antimony electrode	銻電極
Antimorph	反效等位基因
Antimould agen	防霉劑
Antimutagen	抗誘變因素
Antimycin	抗霉素
Antioxidant	抗氧化劑
Antipoison	解毒劑
Antipuritic	止癢的
Antisepsis	防腐
Antiseptics	防腐劑
Antitoxic	抗毒的
Antitoxic reaction	抗毒素反應
Antitoxic serum	抗毒素血清
Antitoxin	抗毒素
Antivibration	抗振
Antivirulent	抗病毒的
Antivitamin	抗微生素
Anus	肛門
Anyperodon leucogrammius (Valenciennes)	白條紋石斑
Aodi	澳底
Aogu	鰲鼓
Aorta	主動脈
Aortic valve	主動脈瓣
Aortic ventricle	左心室
Aortitis	主動脈炎
Aozih	澳仔
Apatite	磷灰石
Aperiodic	無定期的
Aperiodic oscillation	無周期振動
Aperiodicity	無定期性
Aperispermic	無胚乳的
Aperture	孔隙
Apex	頂端，尖
Apheliotropic	背光性的
Apheliotropism	避阻性
Aphototrophism	背光性
Aphtha	口瘡
Aphthous	口瘡的
Aphyocypris kikuchii (Oshima)	菊池氏細鯽
Apical	頂端的
Apical cell theory	頂端細胞學說
Apiculture	養蜂業，養蜂學
Apiology	蜜鋒學
Aplasia	發育不全
Aplodacthlidae	鷹羽鯛科
Aplodactylidae	鷹羽鯛科
Aplysia	海兔
Apocryptodon madurensis (Bleeker)	臥齒鯊
Apogamic seedling	無配苗
Apogamy	無配生殖
Apogeotropism	背地性
Apogon angustatus (Smith & Radcliffe)	寬帶天竺鯛
Apogon apogonides (Bleeker)	正天竺鯛
Apogon aroubiensis (Homborn & Jacquinot)	阿魯巴天竺鯛
Apogon bandanensis (Bleeker)	班達天竺鯛
Apogon carinatus (Cuvier & Valenciennes)	單斑天竺鯛
Apogon coccineus (Ruppell)	紅天竺鯛
Apogon compressus (Smith & Radcliffe)	裂帶天竺鯛
Apogon crassiceps (Garman)	堅頭天竺鯛
Apogon cyanosoma (Bleeker)	金線天竺鯛
Apogon doderleini (Jordan & Snyder)	稻氏天竺鯛
Apogon doryssa (Jordan & Seale)	長棘天竺鯛
Apogon ellioti (Day)	黑邊天竺鯛
Apogon endekataenia (Bleeker)	小條天竺鯛
Apogon exostigma (Jordan & Starks)	單線天竺鯛
Apogon fasciatus (White)	四帶天竺鯛
Apogon fleurieu (Lacepede)	環尾天竺鯛
Apogon fraenatus Valenciennes	棘眼天竺鯛
Apogon fusca (Quoy & Gaimard)	棕天竺鯛
Apogon kallopterus (Bleeker)	棘頭天竺鯛
Apogon kinensis (Jordan & Snyder)	中線天竺鯛
Apogon lineatus (Temminck & Schlegel)	細條紋天竺鯛
Apogon melas (Bleeker)	黑身天竺鯛
Apogon nematopterus (Bleeker)	絲鰭天竺鯛
Apogon niger (Doderlein)	黑天竺鯛
Apogon nigrippinis (Cuvier & Valenciennes)	牛眼天竺鯛
Apogon notatus (Houttuyn)	雙點天竺鯛
Apogon novemfasciatus (Cuvier & Valenciennes)	九帶天竺鯛
Apogon nubilis (Garman)	雲紋天竺鯛
Apogon quadrifasciatus (Cuvier & Valenciennes)	四線天竺鯛
